ZAWA£ BLADY MI åNIA SERCOWEGO,INFARCTUS ISCHEMICUS MYOCARDII
CHOROBA NIEDOKRWIENNA SERCA,MORBUS ISCHAEMICUS
ROZMI KANIE,RAMOLITIO S. EMOLITIO
T TNIAK,ANEURYSMA
BLIZNA POZAWA£OWA,CICATRIX POST INFARCTUS
ZWAPNIENIE ZAWA£U,CALCIFICATIO INFARCTUS
ZAWA£ CZERWONY,INFARCTUS RUBER S. HAEMORRHAGICUS
ZAWA£ ZAGRAØAJ•CY,INFARCTUS MYOCARDII IMMINENS
ZAWA£ PODWSIERDZIOWY,INFARCTUS SUBENDOCARDIALIS
ZAWA£ PE£NOåCIENNY,INFARCTUS TRANSMURALIS
ZAWA£ ROZSIANY,INFARCTUS DESSIMINATUS
ZAPALENIE W£”KNIKOWE,EPICARDITIS EPISTENOCARDIACA
MIKROZAWA£Y,MICROINFARCTUS
MARTWICA SKRZEPOWA,NECROSIS COAGULATIVA
WA£ DEMARKACYJNY,DEMARCATIO
PAS PRZEKRWIENIA OBOCZNEGO,HYPERAEMIA COLLATERALIS
MARSKOå∆ POZAWA£OWA,CIRRHOSIS POST INFRACTUS
SEKWESTRACJA OGNISKA POZAWA£OWEGO W W•TRBIE,SEQUESTRATIO POST INFARCTUM HEPATIS
ORGANIZACJA,ORGANISATIO
ROZMI KANIE JA£OWE,RAMOLLITIO ASEPTCA
ROZMI KANIE ZAKAèNE,RAMOLLITIO SEPTICA
ZWAPNIENIE,CALCIFICATIO
PRZESI K,TRANSSUDATUM
WYSI K,EXSUDATUM
OBRZ K MIEJSCOWY,OEDEMA LOCALE
OBRZ K OG”LNY,OEDEMA UNIVERSALIS S. ANASARCA
S£ONIOWACIZNA,ELEPHANTIASIS
PUCHLINA,HYDROPS
PUCHLINA OP£UCNOWA,HYDROTHORAX
PUCHLINA OSIERDZIOWA,HYDROPERICARDIUM
WODOBRZUSZE,ASCIETES
WODOG£OWEIE,HYDROCEPHALUS
WODNIAK,HYDROCAELE
OBRZ K P£UC,OEDEMA PULMONUM
OBRZ K åCIANY ØO£•DKA,OEDEMA VENTRICULI
OBRZ K UKRYTY,OEDEMA OCCULTUM
JAWNY OBRZ K P£UC,OEDEMA MANIFESTUM
