NADMIERNY WZROST,HYPERTRICHOSIS
WYPADANIE W£OSÓW,DEFLUVIUM PILORUM
WY£YSIENIE,ALOPECIA
WY£YSENIE OGÓLNE,ALOPECIA GENERALIS
WY£YSIENIE LOKALNE,ALOPECIA LOCALIS
SCHORZENIA GRZYBICZE SKÓRY,DERMATOPHYTOSIS
BRAK OW£OSIENIA,ATRICHOSIS
PÊCHERZYCA ZWYK£A,PEMPHIGUS VULGARIS
PÊCHERZYCA LIŒCIASTA,PEMPHIGUS FOLIACEUS
SKÓRNY TOCZEÑ RUMIENIOWATY,LUPUS ERYTHEMATOSUS DISCOIDALIS
PRZEROST SKÓRY W SZPARZE RACICOWEJ,LIMAX 
ŒWIE¯BOWIEC DR¥¯¥CY KOÑSKI,SARCOPTES SCABIEI VARIETAS EQUI
ŒWIE¯BOWIEC OWCZY,PSOROPTES OVIS
ŒWIE¯BOWIEC BYD£A,CHORIOPTES BOVIS
ŒWIE¯BOWIEC USZNY,OTODECTES CYNOTIS 
ROGOWACENIE CIEMNE U PSÓW,ACANTHOSIS NIGRICANS
ROGOWACENIE MIEJSCOWE,TYLOMA
£OJOTOK SUCHY,SEBORRHOE SICCA
£USZCZYCA,PSORIASIS
GRZYBICA WOSZCZYNOWA,FAVUS
PRZEKRWIENIE SKÓRY,HYPERAEMIA CUTIS
RUMIEÑ,ERYTHEMA 
RUMIEÑ Z OPARZEÑ S£ONECZNYCH,ERYTHEMA SOLARE 
RUMIEÑ CIEPLNY,ERYTHEMA CALORRICUM
UCZULENIE NA ŒWIAT£O WYWO£ANE CZYNNIKAMI POKARMOWYMI,FAGOPIRICALORRICUM
NIEPRAWID£OWA PRZEMIANA MATERII,PORYFIRYNURIA
WYBROCZYNY PUNKCIKOWE,PETECHIAE
WYBROCZYNY W POSTACI SMUGI,VIBICES
WYBROCZYNY W POSTACI ROZLEG£YCH PLAM,ECCHYMOSES
SINICA SKÓWY,CYANOSIS CUTIS 
¯Ó£TACZKA,ICTERUS
PAROWANIE NIEWYCZUWALNE,PERSPIRATIO INSENSIBILIS 
NADMIERNE POCENIE SIÊ,HYPERIDROSIS
POCENIE SIÊ NA CA£EJ POWIERZCHNI,HYPERIDROSIS UNIVERSALIS 
POCENIE TYLKO PEWNYCH MIEJSC,HYPERIDROSIS LOCALIS 
ZLEWNE POTY,HYDRORROEA 
POCENIE ZMNIEJSZONE,HYPOIDROSIS
BRAK POCENIA,ANIDROSIS
POTY CUCHN¥CE,BROMIDROSIS
POTY WONNE,OSMIDROSIS
POTY BARWNE,CHROMIDROSIS
POTY KRWAWE,HAEMATIDROSIS
£OJOTOK T£USTY,SEBORRHOE OLEOSA
EGZEMA £OJOTOKOWA,EGZEMA SEBORRHOICUM
ZAPALENIE SKÓRY,DERMATITIS
OBRZÊK SKÓRY,OEDEMA CUTIS
OBRZÊKI ZAPALNE,OEDEMA INFLAMMATORIUM
OBRZÊK UOGÓLNIONY,ANASARCA
OBRZÊK LOKALNY,OEDEMA LOKALE 
ROZEDMA SKÓRY I PODSKÓRZA,EMPHYSEMA CUTIS ET SUBCUTIS 
ROGOWACENIE,HIPERKERATOSIS
ŒWI¥D SKÓRY,PRYRITUS CUTANEUS
NADWRA¯LIWOŒÆ,HIPERAESTHESIS
ZMNIEJSZENIE CZUCIA,HIPOAESTHESIS
ZNIESIENIE CZUCIA,ANAESTHESIS
BOLESNOŒÆ,HIPERALGESIS
ZNIESIENIE BLOESNOŒÆI,ANALGESIS 
SPATRZENIE UCZUCIA SKÓRNEGO,PARASTHESIS
WYKWITY SKÓRNE,EFFLORESCENTIAE
OSUTEK,EXANTHEMA
PLAMKA,MACULA
RÓ¯YCZKA,ROSEDA
TRWA£E ROZSZERZENIE NACZYÑ,MACULAE SANGUINAE 
GRUDKA,PAPULA
TR¥DZIK,ACNE
GUZEK,TUBERCULUM
CZYRAK,FURUNCULUS
B¥BEL,URTICA
POKRZYWKA,URTICARIA 
PÊCHERZYK,VESICULUM
KROSTA,POSTULA
NIESZTOWNICA,ECTHYMA
CZARNA KROSTA,POSTULA MALIGNA
TORBIEL,CYSTIS 
OPRYSZCZKA,HERPES
OPRYSZCZKA WZD£U¯ NERWÓW CZUCIOWYCH,HERPES SIMPLEX 
PÓ£PASIEC,HERPES ZOSTER
BLASZKA,LAMINA
£USKA,SQUAMA
ZABURZENIA ROGOWACENIA,PARAKERATOSIS
OTARCIE,EXCORIATIO
NAD¯ERKA,EROSIO
PÊKNIÊCIE,FISURA-RIMA CUTIS
ROZPADLINA,RHAGAS 
WRZÓD,ULUS
RANA,VULNUS
ODLE¯YNA,DECUBITUS
ZGORZEL,GANGRENA
ZGORZEL WILGOTNA,GANGRENA HUMIDA 
ZGORZEL SUCHA,GANGRENA SICCA
STRUP,CRUSTA
BLIZNA,CICATRIX
ZASKÓRNIAK,COMEDONE
ZLISZAJOWACENIE(D£UGOTRWA£E DRA¯NIENIE),LICHENISATIO
ZLISZAJOWACENIE(WTÓRNE ZAKA¯ENIA BAKTERYJNE),IMPETIGISATIO
