po,¹
daj takich dawek,D.t.d
w równych czêœciach,aa
do,ad
do op³atków,ad caps. amyl.
dowolnie,ad lib.
równy,aeq
koszyczek kwiatowy,Anthod.
woda,Aq.
woda destylowana,Aq. dest.
woda do iniekcji,Aq. pro inj.
ga³ka,Bol.
kapsu³ka,Caps.
kora,Cort.
daj wydaj,D.
odwar,Dec.
destylowany,dest.
dra¿etki,Drag.
podziel,div.
podziel na równe czêœci,div. in part. aeq.
emulsja,Emuls.
w danym czasie,ex temp.
wyci¹g,Extr.
zrób,f.
kwiat,Fl.
liœæ,Fol.
owoc,Fr.
gram,g
kropla,Gtt.
ziele,Hb. H-ba
napar,Inf.
wstrzykniêcie zastrzyk,Inj.
wstrzykniêcie domiêœniowe,Inj. i.m.
wstrzykniêcie do¿ylne,Inj. i.v.
wstrzykniêcie podskórne,Inj. s.c.
zgodnie ze sztuk¹,l. a.
naczynie,Lag.
opakowanie oryginalne,Lag. orig.
mazid³o,Lin.
zmieszaj,m.
zmieszaj wydaj oznacz,M. D. S.
zmieszaj zrób,M. f.
zmieszaj zrób proszek,M. f. pulv. 
mieszanka,Mixt.
w liczbie,No, Nr
olej,Ol.
czêœæ,p.
równe czêœci,p. aeq.
proszek,Pulv.
ile potrzeba,q.s.
korzeñ,Rad.
weŸ,Rp.
powtórzyæ,rep.
¿ywica,Res.
k³¹cze,Rhiz.
nasienie,Sem.
suchy,sicc.
oznacz,S.
syrop,Sir.
roztwór,Sol.
zió³ka,Spec.
wyja³owiony,steril.
sok,Succ.
zawiesina,Susp.
czopki,Supp.
tabletki,Tabl.
nalewka,Tct. T-ra
maœæ,Ung.
Rp,wydawane z przepisu lekarza
Rpw,wydawane z przepisu lekarza zawieraj¹ce œrodki odurzaj¹ce lub substancje psychotropowe
Lz,stosowane wy³¹cznie w lecznictwie zamkniêtym
Rpz,wydawane z przepisu lekarza do zastrze¿onego stosowania
OTC,wydawane bez przepisu lekarza
