ZAWAŁ BLADY MIĘŚNIA SERCOWEGO,INFARCTUS ISCHEMICUS MYOCARDII
CHOROBA NIEDOKRWIENNA SERCA,MORBUS ISCHAEMICUS
ROZMIĘKANIE,RAMOLITIO S. EMOLITIO
TĘTNIAK,ANEURYSMA
BLIZNA POZAWAŁOWA,CICATRIX POST INFARCTUS
ZWAPNIENIE ZAWAŁU,CALCIFICATIO INFARCTUS
ZAWAŁ CZERWONY,INFARCTUS RUBER S. HAEMORRHAGICUS
ZAWAŁ ZAGRAŻAJĄCY,INFARCTUS MYOCARDII IMMINENS
ZAWAŁ PODWSIERDZIOWY,INFARCTUS SUBENDOCARDIALIS
ZAWAŁ PEŁNOŚCIENNY,INFARCTUS TRANSMURALIS
ZAWAŁ ROZSIANY,INFARCTUS DESSIMINATUS
ZAPALENIE WŁÓKNIKOWE,EPICARDITIS EPISTENOCARDIACA
MIKROZAWAŁY,MICROINFARCTUS
MARTWICA SKRZEPOWA,NECROSIS COAGULATIVA
WAŁ DEMARKACYJNY,DEMARCATIO
PAS PRZEKRWIENIA OBOCZNEGO,HYPERAEMIA COLLATERALIS
MARSKOŚĆ POZAWAŁOWA,CIRRHOSIS POST INFRACTUS
SEKWESTRACJA OGNISKA POZAWAŁOWEGO W WĄTRBIE,SEQUESTRATIO POST INFARCTUM HEPATIS
ORGANIZACJA,ORGANISATIO
ROZMIĘKANIE JAŁOWE,RAMOLLITIO ASEPTCA
ROZMIĘKANIE ZAKAŹNE,RAMOLLITIO SEPTICA
ZWAPNIENIE,CALCIFICATIO
PRZESIĘK,TRANSSUDATUM
WYSIĘK,EXSUDATUM
OBRZĘK MIEJSCOWY,OEDEMA LOCALE
OBRZĘK OGÓLNY,OEDEMA UNIVERSALIS S. ANASARCA
SŁONIOWACIZNA,ELEPHANTIASIS
PUCHLINA,HYDROPS
PUCHLINA OPŁUCNOWA,HYDROTHORAX
PUCHLINA OSIERDZIOWA,HYDROPERICARDIUM
WODOBRZUSZE,ASCIETES
WODOGŁOWEIE,HYDROCEPHALUS
WODNIAK,HYDROCAELE
OBRZĘK PŁUC,OEDEMA PULMONUM
OBRZĘK ŚCIANY ŻOŁĄDKA,OEDEMA VENTRICULI
OBRZĘK UKRYTY,OEDEMA OCCULTUM
JAWNY OBRZĘK PŁUC,OEDEMA MANIFESTUM
