NADMIERNY WZROST,HYPERTRICHOSIS
WYPADANIE WŁOSÓW,DEFLUVIUM PILORUM
WYŁYSIENIE,ALOPECIA
WYŁYSENIE OGÓLNE,ALOPECIA GENERALIS
WYŁYSIENIE LOKALNE,ALOPECIA LOCALIS
SCHORZENIA GRZYBICZE SKÓRY,DERMATOPHYTOSIS
BRAK OWŁOSIENIA,ATRICHOSIS
PĘCHERZYCA ZWYKŁA,PEMPHIGUS VULGARIS
PĘCHERZYCA LIŚCIASTA,PEMPHIGUS FOLIACEUS
SKÓRNY TOCZEŃ RUMIENIOWATY,LUPUS ERYTHEMATOSUS DISCOIDALIS
PRZEROST SKÓRY W SZPARZE RACICOWEJ,LIMAX 
ŚWIEŻBOWIEC DRĄŻĄCY KOŃSKI,SARCOPTES SCABIEI VARIETAS EQUI
ŚWIEŻBOWIEC OWCZY,PSOROPTES OVIS
ŚWIEŻBOWIEC BYDŁA,CHORIOPTES BOVIS
ŚWIEŻBOWIEC USZNY,OTODECTES CYNOTIS 
ROGOWACENIE CIEMNE U PSÓW,ACANTHOSIS NIGRICANS
ROGOWACENIE MIEJSCOWE,TYLOMA
ŁOJOTOK SUCHY,SEBORRHOE SICCA
ŁUSZCZYCA,PSORIASIS
GRZYBICA WOSZCZYNOWA,FAVUS
PRZEKRWIENIE SKÓRY,HYPERAEMIA CUTIS
RUMIEŃ,ERYTHEMA 
RUMIEŃ Z OPARZEŃ SŁONECZNYCH,ERYTHEMA SOLARE 
RUMIEŃ CIEPLNY,ERYTHEMA CALORRICUM
UCZULENIE NA ŚWIATŁO WYWOŁANE CZYNNIKAMI POKARMOWYMI,FAGOPIRICALORRICUM
NIEPRAWIDŁOWA PRZEMIANA MATERII,PORYFIRYNURIA
WYBROCZYNY PUNKCIKOWE,PETECHIAE
WYBROCZYNY W POSTACI SMUGI,VIBICES
WYBROCZYNY W POSTACI ROZLEGŁYCH PLAM,ECCHYMOSES
SINICA SKÓWY,CYANOSIS CUTIS 
ŻÓŁTACZKA,ICTERUS
PAROWANIE NIEWYCZUWALNE,PERSPIRATIO INSENSIBILIS 
NADMIERNE POCENIE SIĘ,HYPERIDROSIS
POCENIE SIĘ NA CAŁEJ POWIERZCHNI,HYPERIDROSIS UNIVERSALIS 
POCENIE TYLKO PEWNYCH MIEJSC,HYPERIDROSIS LOCALIS 
ZLEWNE POTY,HYDRORROEA 
POCENIE ZMNIEJSZONE,HYPOIDROSIS
BRAK POCENIA,ANIDROSIS
POTY CUCHNĄCE,BROMIDROSIS
POTY WONNE,OSMIDROSIS
POTY BARWNE,CHROMIDROSIS
POTY KRWAWE,HAEMATIDROSIS
ŁOJOTOK TŁUSTY,SEBORRHOE OLEOSA
EGZEMA ŁOJOTOKOWA,EGZEMA SEBORRHOICUM
ZAPALENIE SKÓRY,DERMATITIS
OBRZĘK SKÓRY,OEDEMA CUTIS
OBRZĘKI ZAPALNE,OEDEMA INFLAMMATORIUM
OBRZĘK UOGÓLNIONY,ANASARCA
OBRZĘK LOKALNY,OEDEMA LOKALE 
ROZEDMA SKÓRY I PODSKÓRZA,EMPHYSEMA CUTIS ET SUBCUTIS 
ROGOWACENIE,HIPERKERATOSIS
ŚWIĄD SKÓRY,PRYRITUS CUTANEUS
NADWRAŻLIWOŚĆ,HIPERAESTHESIS
ZMNIEJSZENIE CZUCIA,HIPOAESTHESIS
ZNIESIENIE CZUCIA,ANAESTHESIS
BOLESNOŚĆ,HIPERALGESIS
ZNIESIENIE BLOESNOŚĆI,ANALGESIS 
SPATRZENIE UCZUCIA SKÓRNEGO,PARASTHESIS
WYKWITY SKÓRNE,EFFLORESCENTIAE
OSUTEK,EXANTHEMA
PLAMKA,MACULA
RÓŻYCZKA,ROSEDA
TRWAŁE ROZSZERZENIE NACZYŃ,MACULAE SANGUINAE 
GRUDKA,PAPULA
TRĄDZIK,ACNE
GUZEK,TUBERCULUM
CZYRAK,FURUNCULUS
BĄBEL,URTICA
POKRZYWKA,URTICARIA 
PĘCHERZYK,VESICULUM
KROSTA,POSTULA
NIESZTOWNICA,ECTHYMA
CZARNA KROSTA,POSTULA MALIGNA
TORBIEL,CYSTIS 
OPRYSZCZKA,HERPES
OPRYSZCZKA WZDŁUŻ NERWÓW CZUCIOWYCH,HERPES SIMPLEX 
PÓŁPASIEC,HERPES ZOSTER
BLASZKA,LAMINA
ŁUSKA,SQUAMA
ZABURZENIA ROGOWACENIA,PARAKERATOSIS
OTARCIE,EXCORIATIO
NADŻERKA,EROSIO
PĘKNIĘCIE,FISURA-RIMA CUTIS
ROZPADLINA,RHAGAS 
WRZÓD,ULUS
RANA,VULNUS
ODLEŻYNA,DECUBITUS
ZGORZEL,GANGRENA
ZGORZEL WILGOTNA,GANGRENA HUMIDA 
ZGORZEL SUCHA,GANGRENA SICCA
STRUP,CRUSTA
BLIZNA,CICATRIX
ZASKÓRNIAK,COMEDONE
ZLISZAJOWACENIE(DŁUGOTRWAŁE DRAŻNIENIE),LICHENISATIO
ZLISZAJOWACENIE(WTÓRNE ZAKAŻENIA BAKTERYJNE),IMPETIGISATIO
